,id
188,course-v1:AnahuacX+IEST.MO.1x+1T2023
189,course-v1:AnahuacX+IEST.MO.2x+3T2023
190,course-v1:AnahuacX+UAC-MO-1x+3T2023
191,course-v1:AnahuacX+UAC-MO-2x+2T2023
192,course-v1:AnahuacX+UAC-MO-3x+3T2023
193,course-v1:AnahuacX+UAC.CP1.2x+2T2023
194,course-v1:AnahuacX+UAM.CP3.1x+3T2023
195,course-v1:AnahuacX+UAM.CP3.2x+3T2023
196,course-v1:AnahuacX+UAMY-CP1x+3T2023
197,course-v1:AnahuacX+UAMY-CP2-3x+1T2024
198,course-v1:AnahuacX+UAMY-CP2x+3T2023
199,course-v1:AnahuacX+UAMY-CP3x+3T2023
200,course-v1:AnahuacX+UAMY.CP10.2x+1T2024
201,course-v1:AnahuacX+UAMY.CP4.1x+2T2023
202,course-v1:AnahuacX+UAMY.CP4.2x+3T2023
203,course-v1:AnahuacX+UAMY.CP7.2x+3T2023
204,course-v1:AnahuacX+UAMY.CP8.1x+2T2023
205,course-v1:AnahuacX+UAMY.CP9.2x+3T2023
206,course-v1:AnahuacX+UAMY.CP9.3x+3T2023
207,course-v1:AnahuacX+UAMY.MO.10x+1T2024
208,course-v1:AnahuacX+UAMY.MO.11x+3T2023
209,course-v1:AnahuacX+UAMY.MO.12X+3T2023
210,course-v1:AnahuacX+UAMY.MO.13x+1T2024
211,course-v1:AnahuacX+UAMY.MO.14X+1T2024
212,course-v1:AnahuacX+UAMY.MO.1x+2T2023
213,course-v1:AnahuacX+UAMY.MO.2x+2T2023
214,course-v1:AnahuacX+UAMY.MO.4x+2T2023
215,course-v1:AnahuacX+UAMY.MO.5x+3T2021
216,course-v1:AnahuacX+UAMY.MO.5x+3T2023
217,course-v1:AnahuacX+UAMY.MO.6x+2T2023
218,course-v1:AnahuacX+UAMY.MO.6x+2T2024
219,course-v1:AnahuacX+UAMY.MO.7x+3T2023
220,course-v1:AnahuacX+UAMY.MO.8x+3T2023
221,course-v1:AnahuacX+UAMY.MO.9x+1T2024
222,course-v1:AnahuacX+UAP.CP1.1x+2T2023
223,course-v1:AnahuacX+UAP.CP1.2x+2T2023
224,course-v1:AnahuacX+UAP.CP1.3x+2T2023
225,course-v1:AnahuacX+UAP.CP2.1x+1T2024
226,course-v1:AnahuacX+UAP.CP2.2x+1T2024
227,course-v1:AnahuacX+UAP.CP4.1x+3T2024
228,course-v1:AnahuacX+UAP.CP4.2x+3T2024
229,course-v1:AnahuacX+UAQ.CP1.1x+1T2024
230,course-v1:AnahuacX+UAQ.MO.1x+1T2024
231,course-v1:AnahuacX+UAQ.MO.2x+3T2023
232,course-v1:AnahuacX+UAQ.MO.2x+3T2023a
233,course-v1:AnahuacX+UAX.CP1.1x+2T2023
